epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,451.991,1.40713,0.85744,1.21686,0.50015,0.53333,0.37759,0.10596,2.849,1.67347,3.17041,0.000661692,0.000661692,0.000661692
2,624.74,1.57837,0.96803,1.28937,0.75562,0.5,0.53061,0.19103,2.51527,1.95767,2.56418,0.00130206,0.00130206,0.00130206
3,781.415,1.58185,0.99762,1.31073,0.56216,0.33333,0.40059,0.13905,2.55675,2.7172,2.61199,0.00191602,0.00191602,0.00191602
4,873.867,1.59572,0.99238,1.31695,0.58098,0.5,0.52243,0.15846,2.62176,1.6793,2.72303,0.0018812,0.0018812,0.0018812
5,958.775,1.57571,0.95917,1.30336,0.8529,0.6,0.5776,0.15356,2.6614,1.69749,2.81232,0.0018416,0.0018416,0.0018416
6,1050.02,1.56845,0.94667,1.28601,0.83626,0.56667,0.69262,0.21417,2.44232,1.3144,2.59765,0.001802,0.001802,0.001802
7,1136.75,1.55868,0.93389,1.29123,0.6268,0.56667,0.57712,0.19767,2.60315,1.24322,2.81359,0.0017624,0.0017624,0.0017624
8,1222.19,1.53084,0.91338,1.27976,0.65252,0.63333,0.57899,0.18945,2.54182,1.54533,2.73332,0.0017228,0.0017228,0.0017228
9,1421.04,1.54767,0.91347,1.28865,0.57328,0.6,0.51872,0.18264,2.53955,1.70879,2.67819,0.0016832,0.0016832,0.0016832
10,1550.11,1.53368,0.89268,1.27195,0.66566,0.53101,0.47455,0.16212,2.53806,1.61008,2.6435,0.0016436,0.0016436,0.0016436
11,1651.69,1.522,0.89623,1.26801,0.72326,0.53333,0.53486,0.18863,2.45531,1.7781,2.6954,0.001604,0.001604,0.001604
